metsig,met,met_noJVT,dmet,dphi_met_phterm,dphi_ph_centraljet1,dphi_phterm_jetterm,jetterm,dphi_met_central_jet,BDTScore,weights,label,metsigres,ph_pt,ph_eta,dphi_met_jetterm,failJVT_jet_pt1,n_jet_central,dphi_jj
7.5414543,135929.3,135929.3,0.0,2.2287793,2.786899749432699,2.6354496479034424,215461.5,2.5834722220897675,0.31822935,0.11092945,1,5.548071515307601e-05,8.995575130566724e-06,2.337922909797557,2.458994050313534,-999.0,0.5,0.8007396256435624
8.2943325,118806.38,118806.38,0.0,2.1981843,2.663699150085449,2.7286593914031982,209472.2,2.676077548657553,0.28781113,0.090161495,1,6.981386158410584e-05,7.782739533655134e-06,0.8187598849904365,1.885102053978596,-999.0,0.25,1.2517255863681025
8.560959,170182.9,170182.9,0.0,1.9382784,2.1421366333961487,2.190327882766724,182464.33,2.937734190617697,0.3017512,0.11088904,1,5.0304460199689586e-05,1.837931765092324e-05,0.7356132980935332,3.967471269192546,-999.0,0.25,1.7409168828473591
10.974058,175085.95,175085.95,0.0,1.7787696,2.230271402989523,2.0596301555633545,185616.02,2.6900908946990967,0.23034696,0.11481735,1,6.267811946336749e-05,1.955498945164759e-05,0.9870767957592024,3.560486263166356,-999.0,0.5,1.2030586567621826
7.5693455,131803.03,131803.03,0.0,1.6299757,1.2795265316963196,2.019935846328736,160821.83,2.7911433577537537,0.20785116,0.12604992,1,5.742922221651758e-05,1.7050161746359407e-05,1.0276833222617583,2.5643632835349575,-999.0,1.0,-999.0
10.830786,199506.94,199506.94,0.0,2.2612479,2.4628748297691345,2.4628746509552,251971.36,2.939965784549713,0.29880777,0.12040779,1,5.428776434680392e-05,1.3861390200961882e-05,0.7681873934764144,4.959661256275157,-999.0,1.0,-999.0
11.158562,186984.03,186984.03,0.0,2.0228772,2.294125348329544,2.294125556945801,224966.05,2.8703446090221405,0.22117136,0.043489482,1,5.967654595971284e-05,1.5263831511722242e-05,4.148290431437139,3.6866629537553566,-999.0,1.0,-999.0
10.037877,145391.52,145391.52,0.0,2.0544245,2.4193340241909027,2.4445042610168457,206186.34,2.7766829172717493,0.30279368,0.04763403,1,6.904032362237456e-05,1.123252598055178e-05,2.0476631689098714,2.563579020117885,-999.0,0.5,18.628021726675687
9.968118,206967.48,206967.48,0.0,1.9577421,2.005697276443243,2.148043155670166,234285.81,3.093637440353631,0.2611982,0.0043163234,1,4.8162724507530125e-05,1.6773540116194002e-05,1.0845257223689633,5.254826931134606,-999.0,0.3333333333333333,0.5127011845456235
10.762545,170725.16,170725.16,0.0,2.0064764,2.3224877754794524,2.3436903953552246,198702.3,2.825581192970276,0.18508747,0.12082745,1,6.304018345197706e-05,1.3146624965572277e-05,0.8261842235495882,2.965474417655101,-999.0,0.3333333333333333,2.2719646057380984
