sample,step_idx,step,events,weighted,elapsed_s
ggHyyd,0,loaded,225374,22918.5214844,2.405456
ggHyyd,1,n_ph==1,195671,19979.1210938,2.428540
ggHyyd,2,pv_z exists,195671,19979.1210938,2.450015
ggHyyd,3,goodPV,86910,8732.75585938,2.494940
ggHyyd,4,n_mu_baseline==0,86910,8732.75585938,2.527346
ggHyyd,5,n_el_baseline==0,86910,8732.75585938,2.560085
ggHyyd,6,n_tau_baseline==0,85912,8630.40234375,2.592004
ggHyyd,7,trigger==1,25430,2584.30541992,2.615703
ggHyyd,8,ph_pt>50GeV,25370,2578.16308594,2.642414
ggHyyd,9,MET>100GeV,5628,568.633117676,2.662244
ggHyyd,10,n_jet_central<=3,4858,491.889312744,2.681112
ggHyyd,11,mT>80GeV,4730,479.373291016,2.707697
ggHyyd,12,VertexBDTScore>0.1,3886,394.524505615,2.724846
ggHyyd,13,met_tst_sig>7,3138,319.534698486,2.742701
ggHyyd,14,ph_eta<1.75,2755,280.689361572,2.761034
ggHyyd,15,dphi_met_phterm>1.35,2411,245.393447876,2.779657
ggHyyd,16,dmet>-20GeV,2390,243.592987061,2.797435
ggHyyd,17,dphi_jj_central<2.5,2294,233.81237793,2.819087
ggHyyd,18,dphi_met_jetterm<0.75,2265,231.234130859,2.841028
Zjets,0,loaded,11544081,1739103.625,65.668379
Zjets,1,n_ph==1,4463818,828876.3125,65.944532
Zjets,2,truth e->gamma,3242488,674497.875,66.641051
Zjets,3,n_mu_baseline==0,3229462,673846.625,67.191862
Zjets,4,n_el_baseline==0,770339,199435.75,67.372424
Zjets,5,n_tau_baseline==0,729391,196128.671875,67.497764
Zjets,6,trigger==1,95006,6059.20361328,67.540305
Zjets,7,ph_pt>50GeV,94607,6016.86669922,67.716161
Zjets,8,MET>100GeV,14813,775.327148438,67.731736
Zjets,9,n_jet_central<=3,7940,681.040649414,67.743641
Zjets,10,mT>80GeV,7481,669.827209473,67.897099
Zjets,11,VertexBDTScore>0.1,3638,103.814674377,67.907665
Zjets,12,met_tst_sig>7,554,29.2636070251,67.916872
Zjets,13,ph_eta<1.75,271,11.5614395142,67.993984
Zjets,14,dphi_met_phterm>1.35,123,5.79971837997,68.005677
Zjets,15,dmet>-20GeV,116,4.54977989197,68.015776
Zjets,16,dphi_jj_central<2.5,77,3.8872013092,68.029564
Zjets,17,dphi_met_jetterm<0.75,75,3.81901669502,68.042303
Zgamma,0,loaded,4341141,310120.1875,21.351779
Zgamma,1,n_ph==1,3423357,249515.859375,21.562446
Zgamma,2,n_mu_baseline==0,3423357,249515.859375,21.695935
Zgamma,3,n_el_baseline==0,3423357,249515.859375,21.823238
Zgamma,4,n_tau_baseline==0,3233457,239841.484375,21.962795
Zgamma,5,trigger==1,2358497,109967.375,22.073020
Zgamma,6,ph_pt>50GeV,2356368,109793.59375,22.538150
Zgamma,7,MET>100GeV,1789816,54244.46875,22.876809
Zgamma,8,n_jet_central<=3,1639302,51087.4335938,23.158040
Zgamma,9,mT>80GeV,1637543,51015.9023438,23.668689
Zgamma,10,VertexBDTScore>0.1,636216,15452.5957031,23.814411
Zgamma,11,met_tst_sig>7,597527,14213.9707031,23.926978
Zgamma,12,ph_eta<1.75,481060,11097.8398438,24.055512
Zgamma,13,dphi_met_phterm>1.35,53008,1434.59558105,24.114941
Zgamma,14,dmet>-20GeV,52107,1416.28222656,24.142882
Zgamma,15,dphi_jj_central<2.5,45417,1258.73046875,24.178645
Zgamma,16,dphi_met_jetterm<0.75,38719,1103.24182129,24.209555
Wgamma,0,loaded,1772654,567686.5625,11.538167
Wgamma,1,n_ph==1,1308982,427789.75,11.621454
Wgamma,2,n_mu_baseline==0,1308982,427789.75,11.673755
Wgamma,3,n_el_baseline==0,1308982,427789.75,11.722635
Wgamma,4,n_tau_baseline==0,1109250,395396.4375,11.778355
Wgamma,5,trigger==1,521828,97547.65625,11.810537
Wgamma,6,ph_pt>50GeV,520958,97216.2578125,11.919837
Wgamma,7,MET>100GeV,342184,40247.3164062,11.986572
