sample,step_idx,step,events,weighted,elapsed_s
gammajet_direct,7,MET>100GeV,1489230,947646.125,61.097358
gammajet_direct,8,n_jet_central<=3,1031214,905971.25,61.285796
gammajet_direct,9,140>mT>100GeV,27495,10478.9306641,61.523676
gammajet_direct,10,VertexBDTScore>0.1,27203,4023.63696289,61.537122
gammajet_direct,11,20>met_tst_sig>7,65,111.665374756,61.548054
gammajet_direct,12,ph_eta<1.74,57,42.2500114441,61.587601
gammajet_direct,13,dphi_met_phterm>1.23,57,42.2500114441,61.597624
gammajet_direct,14,41.6GeV>dmet>-21.2GeV,52,9.36742687225,61.607334
gammajet_direct,15,dphi_jj_central<2.37,41,6.71546220779,61.619709
gammajet_direct,16,dphi_met_jetterm<0.73,40,6.54419612885,61.631217
data23,0,loaded,19779010,213169876.876,51.895837
data23,1,jet_faking_photon,3384689,36493235.1549,54.201061
data23,2,n_ph_baseline==1,3354286,36165772.7527,55.421060
data23,3,n_mu_baseline==0,3354286,36165772.7527,56.640771
data23,4,n_el_baseline==0,3354286,36165772.7527,57.862355
data23,5,n_tau_baseline==0,3294169,35519418.8962,59.065334
data23,6,trigger==1,719136,7733948.5806,59.467760
data23,7,ph_pt>50GeV,713598,7672785.44681,59.889696
data23,8,MET>100GeV,93925,1009484.23596,60.003346
data23,9,n_jet_central<=3,79778,857114.855923,60.095237
data23,10,140>mT>100GeV,2513,27254.3611138,60.266929
data23,11,VertexBDTScore>0.1,1231,13349.217037,60.334538
data23,12,20>met_tst_sig>7,244,2643.62666149,60.399786
data23,13,ph_eta<1.74,176,1860.89647812,60.507751
data23,14,dphi_met_phterm>1.23,137,1455.07131076,60.571917
data23,15,41.6GeV>dmet>-21.2GeV,126,1340.38614534,60.635434
data23,16,dphi_jj_central<2.37,107,1139.15009217,60.702263
data23,17,dphi_met_jetterm<0.73,105,1117.51237023,60.767388
