sample,step_idx,step,events,weighted,elapsed_s
ggHyyd,0,loaded,225374,22918.5214844,3.132097
ggHyyd,1,n_ph==1,195671,19979.1210938,3.157091
ggHyyd,2,pv_z exists,195671,19979.1210938,3.182408
ggHyyd,3,goodPV,86910,8732.75585938,3.237383
ggHyyd,4,n_mu_baseline==0,86910,8732.75585938,3.323636
ggHyyd,5,n_el_baseline==0,86910,8732.75585938,3.357208
ggHyyd,6,n_tau_baseline==0,85912,8630.40234375,3.395640
ggHyyd,7,trigger==1,25430,2584.30541992,3.422901
ggHyyd,8,ph_pt>50GeV,25370,2578.16308594,3.450665
ggHyyd,9,MET>100GeV,5628,568.633117676,3.470175
ggHyyd,10,n_jet_central<=3,4858,491.889312744,3.492392
ggHyyd,11,140>mT>100GeV,2866,290.678192139,3.521088
ggHyyd,12,VertexBDTScore>0.1,2646,268.245117188,3.538636
ggHyyd,13,met_tst_sig>6,2422,246.402603149,3.556257
ggHyyd,14,ph_eta<1.75,2124,216.296020508,3.577093
ggHyyd,15,dphi_met_phterm>1.25,2004,204.333862305,3.599269
ggHyyd,16,dmet>-10GeV,1945,198.449615479,3.621478
ggHyyd,17,dphi_jj_central<2.5,1860,189.781646729,3.647126
ggHyyd,18,dphi_met_jetterm<0.75,1852,189.093826294,3.669680
Zjets,0,loaded,11544081,1739103.625,64.797449
Zjets,1,n_ph==1,4463818,828876.3125,65.041705
Zjets,2,truth e->gamma,3242488,674497.875,65.695137
Zjets,3,n_mu_baseline==0,3229462,673846.625,66.228652
Zjets,4,n_el_baseline==0,770339,199435.75,66.406589
Zjets,5,n_tau_baseline==0,729391,196128.671875,66.550572
Zjets,6,trigger==1,95006,6059.20361328,66.593943
Zjets,7,ph_pt>50GeV,94607,6016.86669922,66.711397
Zjets,8,MET>100GeV,14813,775.327148438,66.727959
Zjets,9,n_jet_central<=3,7940,681.040649414,66.740362
Zjets,10,140>mT>100GeV,532,34.8040351868,66.871086
Zjets,11,VertexBDTScore>0.1,383,16.8281364441,66.881144
Zjets,12,met_tst_sig>6,110,4.69675064087,66.890740
Zjets,13,ph_eta<1.75,64,3.50093126297,66.957148
Zjets,14,dphi_met_phterm>1.25,62,3.40049600601,66.968288
Zjets,15,dmet>-10GeV,59,2.57056331635,66.978287
Zjets,16,dphi_jj_central<2.5,39,2.18737649918,67.078973
Zjets,17,dphi_met_jetterm<0.75,39,2.18737649918,67.092026
Zgamma,0,loaded,4341141,310120.1875,23.330827
Zgamma,1,n_ph==1,3423357,249515.859375,23.508417
Zgamma,2,n_mu_baseline==0,3423357,249515.859375,23.642318
Zgamma,3,n_el_baseline==0,3423357,249515.859375,23.767972
Zgamma,4,n_tau_baseline==0,3233457,239841.484375,23.898160
Zgamma,5,trigger==1,2358497,109967.375,23.998827
Zgamma,6,ph_pt>50GeV,2356368,109793.59375,24.466948
