sample,step_idx,step,events,weighted,elapsed_s
ggHyyd,0,loaded,225374,22918.5214844,1.093003
ggHyyd,1,n_ph==1,195671,19979.1210938,1.122113
ggHyyd,2,pv_z exists,195671,19979.1210938,1.164472
ggHyyd,3,goodPV,86910,8732.75585938,1.217439
ggHyyd,4,n_mu_baseline==0,86910,8732.75585938,1.262410
ggHyyd,5,n_el_baseline==0,86910,8732.75585938,1.325299
ggHyyd,6,n_tau_baseline==0,85912,8630.40234375,1.381924
ggHyyd,7,trigger==1,25430,2584.30541992,1.405800
ggHyyd,8,ph_pt>50GeV,25370,2578.16308594,1.453804
ggHyyd,9,MET>100GeV,5628,568.633117676,1.473379
ggHyyd,10,n_jet_central<=3,4858,491.889312744,1.492486
ggHyyd,11,mT>80GeV,4730,479.373291016,1.544484
ggHyyd,12,VertexBDTScore>0.1,3886,394.524505615,1.568227
ggHyyd,13,met_tst_sig>7,3138,319.534698486,1.585727
ggHyyd,14,ph_eta<1.75,2755,280.689361572,1.603558
ggHyyd,15,dphi_met_phterm>1.35,2411,245.393447876,1.632332
ggHyyd,16,dmet>-20GeV,2390,243.592987061,1.664017
ggHyyd,17,dphi_jj_central<2.5,2294,233.81237793,1.686992
ggHyyd,18,dphi_met_jetterm<0.75,2265,231.234130859,1.707275
Zjets,0,loaded,11544081,1739103.625,70.145389
Zjets,1,n_ph==1,4463818,828876.3125,70.477540
Zjets,2,truth e->gamma,3242488,674497.875,71.338098
Zjets,3,n_mu_baseline==0,3229462,673846.625,71.927509
Zjets,4,n_el_baseline==0,770339,199435.75,72.156434
Zjets,5,n_tau_baseline==0,729391,196128.671875,72.323541
Zjets,6,trigger==1,95006,6059.20361328,72.377448
Zjets,7,ph_pt>50GeV,94607,6016.86669922,72.578128
Zjets,8,MET>100GeV,14813,775.327148438,72.592738
Zjets,9,n_jet_central<=3,7940,681.040649414,72.604450
Zjets,10,mT>80GeV,7481,669.827209473,72.820947
Zjets,11,VertexBDTScore>0.1,3638,103.814674377,72.843306
Zjets,12,met_tst_sig>7,554,29.2636070251,72.853121
Zjets,13,ph_eta<1.75,271,11.5614395142,72.958657
Zjets,14,dphi_met_phterm>1.35,123,5.79971837997,72.969648
Zjets,15,dmet>-20GeV,116,4.54977989197,72.979005
Zjets,16,dphi_jj_central<2.5,77,3.8872013092,72.992501
Zjets,17,dphi_met_jetterm<0.75,75,3.81901669502,73.006457
Zgamma,0,loaded,4341141,310120.1875,16.748193
Zgamma,1,n_ph==1,3423357,249515.859375,16.949404
Zgamma,2,n_mu_baseline==0,3423357,249515.859375,17.121557
Zgamma,3,n_el_baseline==0,3423357,249515.859375,17.262430
Zgamma,4,n_tau_baseline==0,3233457,239841.484375,17.426353
Zgamma,5,trigger==1,2358497,109967.375,17.551380
Zgamma,6,ph_pt>50GeV,2356368,109793.59375,18.091888
Zgamma,7,MET>100GeV,1789816,54244.46875,18.501183
Zgamma,8,n_jet_central<=3,1639302,51087.4335938,18.853850
Zgamma,9,mT>80GeV,1637543,51015.9023438,19.472364
Zgamma,10,VertexBDTScore>0.1,636216,15452.5957031,19.647349
Zgamma,11,met_tst_sig>7,597527,14213.9707031,19.801207
Zgamma,12,ph_eta<1.75,481060,11097.8398438,19.954827
Zgamma,13,dphi_met_phterm>1.35,53008,1434.59558105,20.019953
Zgamma,14,dmet>-20GeV,52107,1416.28222656,20.041964
Zgamma,15,dphi_jj_central<2.5,45417,1258.73046875,20.099706
Zgamma,16,dphi_met_jetterm<0.75,38719,1103.24182129,20.137551
Wgamma,0,loaded,1772654,567686.5625,8.607471
Wgamma,1,n_ph==1,1308982,427789.75,8.701877
Wgamma,2,n_mu_baseline==0,1308982,427789.75,8.777616
Wgamma,3,n_el_baseline==0,1308982,427789.75,8.829149
Wgamma,4,n_tau_baseline==0,1109250,395396.4375,8.899082
Wgamma,5,trigger==1,521828,97547.65625,8.954539
Wgamma,6,ph_pt>50GeV,520958,97216.2578125,9.099322
Wgamma,7,MET>100GeV,342184,40247.3164062,9.194238
Wgamma,8,n_jet_central<=3,282073,35614.7070312,9.272307
Wgamma,9,mT>80GeV,278201,35146.9921875,9.415155
Wgamma,10,VertexBDTScore>0.1,150346,14461.9160156,9.471350
Wgamma,11,met_tst_sig>7,130382,12351.1640625,9.503640
Wgamma,12,ph_eta<1.75,104914,9615.95703125,9.551108
Wgamma,13,dphi_met_phterm>1.35,29859,2707.78686523,9.595473
Wgamma,14,dmet>-20GeV,28912,2625.64257812,9.630931
Wgamma,15,dphi_jj_central<2.5,24381,2344.96069336,9.662012
Wgamma,16,dphi_met_jetterm<0.75,21006,2093.43823242,9.681848
Wjets,0,loaded,3041984,3974293,18.309976
Wjets,1,n_ph==1,2230309,3093999.5,18.472236
Wjets,2,truth e->gamma,1962593,2811573.25,18.904899
Wjets,3,n_mu_baseline==0,1962593,2811573.25,19.268969
Wjets,4,n_el_baseline==0,1962593,2811573.25,19.621490
Wjets,5,n_tau_baseline==0,1937580,2779467,19.975746
Wjets,6,trigger==1,287662,273664.25,20.088246
Wjets,7,ph_pt>50GeV,286760,272168.78125,20.213754
Wjets,8,MET>100GeV,119227,50452.7617188,20.279153
Wjets,9,n_jet_central<=3,73933,46210.453125,20.311144
Wjets,10,mT>80GeV,56398,43051.8515625,20.393306
Wjets,11,VertexBDTScore>0.1,48111,18166.046875,20.413226
Wjets,12,met_tst_sig>7,32166,14647.8710938,20.441679
Wjets,13,ph_eta<1.75,18199,7279.95703125,20.479372
Wjets,14,dphi_met_phterm>1.35,15222,3187.35058594,20.498282
Wjets,15,dmet>-20GeV,14912,3123.42041016,20.511729
Wjets,16,dphi_jj_central<2.5,12545,2914.20239258,20.544689
Wjets,17,dphi_met_jetterm<0.75,12350,2871.83569336,20.574389
gammajet_direct,0,loaded,13721741,172729872,55.380893
gammajet_direct,1,n_ph==1,12921098,145885296,56.082440
gammajet_direct,2,n_mu_baseline==0,12921098,145885296,56.614765
gammajet_direct,3,n_el_baseline==0,12921098,145885296,57.164479
gammajet_direct,4,n_tau_baseline==0,12807272,143290624,57.688257
gammajet_direct,5,trigger==1,6956099,6367350,58.044151
gammajet_direct,6,ph_pt>50GeV,6955806,6345570.5,59.693085
gammajet_direct,7,MET>100GeV,1489230,947646.125,60.219706
gammajet_direct,8,n_jet_central<=3,1031214,905971.25,60.476858
gammajet_direct,9,mT>80GeV,945796,902750.5625,61.007942
gammajet_direct,10,VertexBDTScore>0.1,877581,52135.1289062,61.233773
gammajet_direct,11,met_tst_sig>7,61107,13516.234375,61.290834
gammajet_direct,12,ph_eta<1.75,57849,10582.9628906,61.393630
gammajet_direct,13,dphi_met_phterm>1.35,1256,268.92980957,61.409635
gammajet_direct,14,dmet>-20GeV,1067,194.271774292,61.420313
gammajet_direct,15,dphi_jj_central<2.5,957,187.06086731,61.434506
gammajet_direct,16,dphi_met_jetterm<0.75,301,86.0587768555,61.453579
data23,0,loaded,19779010,213169876.876,64.284801
data23,1,jet_faking_photon,3384689,36493235.1549,67.733347
data23,2,n_ph_baseline==1,3354286,36165772.7527,69.411788
data23,3,n_mu_baseline==0,3354286,36165772.7527,71.039768
data23,4,n_el_baseline==0,3354286,36165772.7527,72.677455
data23,5,n_tau_baseline==0,3294169,35519418.8962,74.364247
data23,6,trigger==1,719136,7733948.5806,75.007477
data23,7,ph_pt>50GeV,713598,7672785.44681,75.682655
data23,8,MET>100GeV,93925,1009484.23596,75.868186
data23,9,n_jet_central<=3,79778,857114.855923,76.040020
data23,10,mT>80GeV,79409,853096.1075,76.380623
data23,11,VertexBDTScore>0.1,17148,184316.088095,76.519028
data23,12,met_tst_sig>7,2753,29491.1671679,76.631077
data23,13,ph_eta<1.75,2161,22725.4758902,76.832356
data23,14,dphi_met_phterm>1.35,298,3139.14621131,76.951558
data23,15,dmet>-20GeV,275,2900.13583002,77.065879
data23,16,dphi_jj_central<2.5,241,2540.15329388,77.208995
data23,17,dphi_met_jetterm<0.75,222,2338.91724071,77.325154
